,Date,Total Payment,Loan02 Payment,Loan02 Intrest,Loan02 Remaining,Loan01 Payment,Loan01 Intrest,Loan01 Remaining,Loan03 Payment,Loan03 Intrest,Loan03 Remaining,Loan05 Payment,Loan05 Intrest,Loan05 Remaining,Loan04 Payment,Loan04 Intrest,Loan04 Remaining,Loan06 Payment,Loan06 Intrest,Loan06 Remaining,Loan07 Payment,Loan07 Intrest,Loan07 Remaining,Loan08 Payment,Loan08 Intrest,Loan08 Remaining,Sum Check
0,2024-01-01,2000,0.0,,23407.56,0.0,,3793.01,0.0,,5039.98,0.0,,5351.44,0.0,,4860.71,0.0,,14312.28,0.0,,5323.07,0.0,,5536.36,0.0
1,2024-02-01,2000,1144.95,219.25081200000002,22481.860812,85.23,24.02239666666667,3731.802396666667,70.14,29.39988333333333,4999.239883333333,79.5,21.405759999999997,5293.345759999999,79.93,17.012485,4797.792485,416.47,49.973711,13945.783711000002,57.45,17.921002333333334,5283.541002333333,66.33,16.193853,5486.2238529999995,2000.0
2,2024-03-01,2000,1144.95,210.5800962724,21547.490908272397,85.23,23.634748512222224,3670.2071451788893,70.14,29.162232652777774,4958.26211598611,79.5,21.173383039999997,5235.019143039999,79.93,16.7922736975,4734.654758697499,416.47,48.694028124241676,13578.007739124245,57.45,17.787921374522224,5243.878923707855,66.33,16.047204770024997,5435.941057770025,2000.0
3,2024-04-01,2000,1144.95,201.82816484081812,20604.369073113216,85.23,23.244645252799632,3608.221790431689,70.14,28.923195676585642,4917.045311662695,79.5,20.940076572159995,5176.459219612159,79.93,16.571291655441247,4671.29605035294,416.47,47.40987702244216,13208.947616146688,57.45,17.654392376483113,5204.083316084339,66.33,15.900127593977322,5385.511185364002,2000.0
4,2024-05-01,2000,1144.95,192.99425698482713,19652.413330098043,85.23,22.852071339400695,3545.8438617710895,70.14,28.68276431803239,4875.588075980727,79.5,20.705836878448636,5117.665056490608,79.93,16.34953617623529,4607.715586529175,416.47,46.121242093045524,12838.598858239735,57.45,17.520413830817272,5164.153729915156,66.33,15.752620217189707,5334.933805581191,2000.0
5,2024-06-01,2000,1144.95,184.077604858585,18691.54093495663,85.23,22.45701112455023,3483.0708728956397,70.14,28.440930443220907,4833.889006423948,79.5,20.47066022596243,5058.63571671657,79.93,16.127004552852114,4543.912591082027,416.47,44.82810768002041,12466.956965919757,57.45,17.385984224047693,5124.089714139204,66.33,15.604681381324985,5284.208486962516,2000.0
6,2024-07-01,2000,1144.95,175.07743342409375,17721.66836838072,85.23,22.059448861672383,3419.900321757312,70.14,28.197685870806364,4791.946692294754,79.5,20.234542866866278,4999.370259583436,79.93,15.903694068787093,4479.886285150814,416.47,43.530458072669816,12094.017423992427,57.45,17.25110203760199,5083.890816176807,66.33,15.45630982436536,5233.334796786881,2000.0
7,2024-08-01,2000,1144.95,165.99296038383275,16742.71132876455,85.23,21.659368704462977,3356.329690461775,70.14,27.9530223717194,4749.759714666473,79.5,19.997481038333742,4939.867740621769,79.93,15.679601998027849,4415.635887148841,416.47,42.228277505440225,11719.775701497869,57.45,17.11576574779525,5043.556581924602,66.33,15.307504280601629,5182.312301067483,2000.0
8,2024-09-01,2000,1144.95,156.82339611276132,15754.584724877313,85.23,21.256754706257908,3292.356445168033,70.14,27.706931668887762,4707.32664633536,79.5,19.75947096248708,4880.127211584257,79.93,15.454725605020943,4351.160612753862,416.47,40.92155015773006,11344.2272516556,57.45,16.979973825812827,5003.086555750415,66.33,15.158263480622388,5131.140564548105,2000.0
9,2024-10-01,2000,1144.95,147.56794358968418,14757.202668466996,85.23,20.851590819397543,3227.9780359874308,70.14,27.45940543695627,4664.646051772316,79.5,19.520508846337027,4820.147720430594,79.93,15.229062144638515,4286.4596748984995,416.47,39.610260153697475,10967.367511809298,57.45,16.843724737693062,4962.480280488108,66.33,15.00858615130321,5079.819150699409,2000.0
10,2024-11-01,2000,1144.95,138.22579832797422,13750.47846679497,85.23,20.44386089458706,3163.1918968820178,70.14,27.21043530200518,4621.716487074321,79.5,19.280590881722375,4759.9283113123165,79.93,15.002608862144749,4221.532283760644,416.47,38.29439156206747,10589.191903371366,57.45,16.707016944309963,4921.737297432418,66.33,14.858471015795772,5028.347621715205,2000.0
11,2024-12-01,2000,1144.95,128.79614830564623,12734.324615100615,85.23,20.03354868025278,3097.9954455622706,70.14,26.960012841266874,4578.536499915587,79.5,19.039713245249267,4699.4680245575655,79.93,14.775362993162252,4156.3776467538055,416.47,36.97392839593835,10209.695831767305,57.45,16.569848901355808,4880.857146333774,66.33,14.707916793516974,4976.725538508722,2000.0
12,2025-01-01,2000,1144.95,119.27817389477578,11708.65278899539,85.23,19.62063782189438,3032.386083384165,70.14,26.708129582840925,4535.104629498428,79.5,18.79787209823026,4638.765896655796,79.93,14.547321763638319,4090.994968517444,416.47,35.648854612587506,9828.874686379893,57.45,16.432219059323707,4839.839365393098,66.33,14.556922200138011,4924.95246070886,2000.0
13,2025-02-01,2000,1144.95,109.67104779025684,10673.373836785646,85.23,19.205111861433043,2966.361195245598,70.14,26.454777005407497,4491.4194065038355,79.5,18.555063586623184,4577.820960242419,79.93,14.318482389811054,4025.3834509072553,416.47,34.31915411327646,9446.72384049317,57.45,16.2941258634901,4798.683491256588,66.33,14.405485947573416,4873.027946656433,2000.0
14,2025-03-01,2000,1144.95,99.97393493789222,9628.397771723538,85.23,18.786954236555456,2899.9181494821537,70.14,26.19994653793904,4447.479353041775,79.5,18.311283840969676,4516.632244083388,79.93,14.088842078175395,3959.542292985431,416.47,32.98481074305532,9063.238651236226,57.45,16.15556775389718,4757.389059010486,66.33,14.253606743970067,4820.951553400404,2000.0
15,2025-04-01,2000,1144.95,90.18599246181047,8573.633764185348,85.23,18.36614828005364,2833.054297762207,70.14,25.943629559410354,4403.282982601185,79.5,18.066528976333554,4455.198773059722,79.93,13.858398025449008,3893.47069101088,416.47,31.645808290566492,8678.414459526794,57.45,16.016543165335303,4715.955602175821,66.33,14.101283293696182,4768.7228366941,2000.0
16,2025-05-01,2000,1144.95,80.30636959120277,7508.9901337765505,85.23,17.942677219160647,2765.7669749813676,70.14,25.685817398506913,4358.828799999691,79.5,17.82079509223889,4393.519568151961,79.93,13.62714741853808,3827.167838429418,416.47,30.302130487847723,8292.246590014642,57.45,15.877050527325263,4674.382652703146,66.33,13.948514297330243,4716.34135099143,2000.0
17,2025-06-01,2000,1144.95,70.3342075863737,6434.3743413629245,85.23,17.516524174881994,2698.0534991562495,70.14,25.426501333331533,4314.115301333022,79.5,17.574078272607842,4331.593646424569,79.93,13.395087434502964,3760.632925863921,416.47,28.953761010134457,7904.730351024776,57.45,15.737088264100592,4632.669740967247,66.33,13.795298451649932,4663.80664944308,2000.0
18,2025-07-01,2000,1144.95,60.268639664099396,5349.692981027024,85.23,17.087672161322914,2629.9111713175726,70.14,25.1656725911093,4269.140973924131,79.5,17.326374585698275,4269.420021010267,79.93,13.162215240523725,3693.8651411044452,416.47,27.60068347566151,7515.861034500437,57.45,15.596654794589732,4590.816395761837,66.33,13.641634449621009,4611.118283892701,2000.0
19,2025-08-01,2000,1144.95,50.10879092228646,4254.85177194931,85.23,16.656104085011293,2561.3372754025836,70.14,24.903322347890764,4223.904296272021,79.5,17.07768008404107,4206.9977010943085,79.93,12.928527993865558,3626.8636690983108,416.47,26.24288144546403,7125.633915945901,57.45,15.455748532398186,4548.822144294236,66.33,13.487520980386149,4558.275804873087,2000.0
20,2025-09-01,2000,1144.95,39.85377826392521,3149.7555502132354,85.23,16.22180274421636,2492.3290781468,70.14,24.63944172825346,4178.403738000275,79.5,16.827990804377233,4144.325691898685,79.93,12.694022841844088,3559.627691940155,416.47,24.880338423177772,6734.044254369079,57.45,15.314367885790594,4506.6865121800265,66.33,13.332956729253779,4505.278761602341,2000.0
21,2025-10-01,2000,1144.95,29.50271032033064,2034.308260533566,85.23,15.784750828263066,2422.883828975063,70.14,24.374021805001604,4132.637759805276,79.5,16.57730276759474,4081.4029946662804,79.93,12.458696921790542,3492.1563888619457,416.47,23.5130378548387,6341.087292223917,57.45,15.172511257672756,4464.409023437699,66.33,13.177940377686847,4452.126701980028,2000.0
22,2025-11-01,2000,1144.95,19.054687373664404,908.4129479072305,85.23,15.344930916842065,2352.998759891905,70.14,24.10705359886411,4086.60481340414,79.5,16.325611978665123,4018.228606644945,79.93,12.22254736101681,3424.448936222963,416.47,22.140963128681843,5946.758255352598,57.45,15.030177045573586,4421.989200483273,66.33,13.022470603291582,4398.819172583319,2000.0
23,2025-12-01,2000,916.9217491859616,8.50880127873106,0.0,313.2582508140383,14.9023254793154,2054.642834557182,70.14,23.838528078190816,4040.303341482331,79.5,16.072914426579782,3954.801521071525,79.93,11.98557127678037,3356.5045074997433,416.47,20.764097574939488,5551.052352927537,57.45,14.887363641627019,4379.4265641249,66.33,12.86654607980621,4345.355718663126,2000.0
24,2026-01-01,2000,0.0,0.0,0.0,1230.1799999999998,13.012737952195486,837.4755725093778,70.14,23.568436158646932,3993.7317776409777,79.5,15.8192060842861,3891.120727155811,79.93,11.747765776249102,3288.3222732759928,416.47,19.38242446563865,5153.964777393176,57.45,14.74406943255383,4336.720633557455,66.33,12.710165477089644,4291.735884140216,2000.0
25,2026-02-01,2000,0.0,0.0,0.0,842.7795844686038,5.3040119592260595,0.0,457.5404155313963,23.296768702905705,3559.4881308124873,79.5,15.564482908623244,3827.185210064434,79.93,11.509127956465974,3219.9014012324587,416.47,17.99592701439784,4755.4907044075735,57.45,14.60029279964343,4293.870926357098,66.33,12.55332746111013,4237.9592116013255,2000.0000000000002
26,2026-03-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,1300.32,20.763680763072845,2279.9318115755605,79.5,15.308740840257737,3762.9939509046917,79.93,11.269654904313606,3151.2410561367724,416.47,16.604588376223113,4355.625292783797,57.45,14.456032118735564,4250.876958475834,66.33,12.396030693933877,4184.025242295259,2000.0
27,2026-04-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,1300.32,13.29960223419077,992.9114138097514,79.5,15.051975803618767,3698.5459267083106,79.93,11.029343696478703,3082.3403998332515,416.47,15.208391647303424,3954.3636844311004,57.45,14.311285760201974,4207.738244236036,66.33,12.238273833713633,4129.933516128973,2000.0
28,2026-05-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,998.703397056975,5.79198324722355,0.0,381.1166029430251,14.794183706833243,3332.223507472119,79.93,10.78819139941638,3013.198591232668,416.47,13.80731986480526,3551.7010042959055,57.45,14.166052088927987,4164.454296324964,66.33,12.080055534677246,4075.6835716636497,2000.0
29,2026-06-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.82,13.328894029888476,1965.7324015020074,79.93,10.546195069314338,2943.8147863019826,416.47,12.401356006666537,3147.632360302572,57.45,14.020329464294045,4121.024625789259,66.33,11.921374447116175,4021.274946110766,2000.0
30,2026-07-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.82,7.86292960600803,593.7753311080155,79.93,10.303351752056939,2874.18813805404,416.47,10.990482991389815,2742.152843293962,57.45,13.874116240157171,4077.4487420294163,66.33,11.76222921737399,3966.7071753281402,2000.0
31,2026-08-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.1504324324476,2.375101324432062,0.0,863.5995675675524,10.05965848318914,2020.6482289696767,416.47,9.574683677834752,2335.2575269717972,57.45,13.727410764832369,4033.7261527942487,66.33,11.60261848783481,3911.979793815975,2000.0
32,2026-09-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.75,7.072268801393869,567.9704977710705,416.47,8.15394086500986,1926.9414678368069,57.45,13.58021138107397,3989.856364175323,66.33,11.442540896911726,3857.092334712887,2000.0
33,2026-10-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.9583945132692,1.987896742198747,0.0,1306.2616054867308,6.728237291863517,627.4080996419395,57.45,13.432516426056921,3945.83888060138,66.33,11.281995079035195,3802.0443297919223,2000.0
34,2026-11-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.598799589856,2.190699947916439,0.0,1304.0712004101442,13.28432423135798,2655.0520044225937,66.33,11.120979664641373,3746.8353094565637,2000.0000000000002
35,2026-12-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.67,8.938675081556065,730.3206795041497,66.33,10.95949328016045,3691.4648027367243,2000.0
36,2027-01-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.7794257918137,2.4587462876639705,0.0,1267.2205742081865,10.797534548004919,2435.041763076543,2000.0
37,2027-02-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,7.122497156998888,442.1642602335419,2000.0
38,2027-03-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.457590694725,1.29333046118311,0.0,443.457590694725
39,2027-04-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2027-05-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2027-06-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2027-07-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2027-08-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2027-09-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2027-10-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2027-11-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2027-12-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2028-01-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2028-02-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2028-03-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2028-04-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2028-05-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2028-06-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2028-07-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2028-08-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2028-09-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2028-10-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2028-11-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2028-12-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2029-01-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2029-02-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2029-03-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2029-04-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2029-05-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2029-06-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2029-07-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2029-08-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2029-09-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2029-10-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2029-11-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2029-12-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2030-01-01,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
